id,code_prefix_start,name,name@es_ES
account_group_template_pasivo_largo_plazo,51,PASIVOS A LARGO PLAZO,PASIVOS A LARGO PLAZO
account_group_template_510_514,510,Efectos por Pagar a Largo Plazo,Efectos por Pagar a Largo Plazo
account_group_template_515_518,515,Cuentas por Pagar a Largo Plazo,Cuentas por Pagar a Largo Plazo
account_group_template_520_524,520,Préstamos Recibidos por Pagar a Largo Plazo,Préstamos Recibidos por Pagar a Largo Plazo
account_group_template_525_532,525,Obligaciones a Largo Plazo,Obligaciones a Largo Plazo
account_group_template_533_539,533,Otras Provisiones a Largo Plazo,Otras Provisiones a Largo Plazo
account_group_template_540_540,540,Bonos por Pagar,Bonos por Pagar
account_group_template_541_541,541,Bonos Suscritos,Bonos Suscritos
account_group_template_pasivos_diferidos,54,PASIVOS DIFERIDOS,PASIVOS DIFERIDOS
account_group_template_545_548,545,Ingresos Diferidos,Ingresos Diferidos
account_group_template_549_549,549,Ingresos Diferidos por Donaciones Recibidas,Ingresos Diferidos por Donaciones Recibidas
account_group_template_otros_pasivos,55,OTROS PASIVOS,OTROS PASIVOS
account_group_template_555_564,555,Sobrantes en Investigación,Sobrantes en Investigación
account_group_template_565_568,565,Cuentas por Pagar Diversas,Cuentas por Pagar Diversas
account_group_template_569_569,569,Cuentas por Pagar - Compra de Monedas,Cuentas por Pagar - Compra de Monedas
account_group_template_570_574,570,Ingresos de Períodos Futuros,Ingresos de Períodos Futuros
account_group_template_575_575,575,Obligación con el Presupuesto del Estado por garantía activada,Obligación con el Presupuesto del Estado por garantía activada
account_group_template_patrimonio_neto_estatales,60,PATRIMONIO NETO (Entidades Estatales),PATRIMONIO NETO (Entidades Estatales)
account_group_template_600_612,600,Inversión Estatal,Inversión Estatal
account_group_template_613_615,613,Revalorización de Activos Fijos Tangibles,Revalorización de Activos Fijos Tangibles
account_group_template_617_618,617,Recursos Recibidos,Recursos Recibidos
account_group_template_619_619,619,Recursos Entregados,Recursos Entregados
account_group_template_620_620,620,Donaciones Recibidas-Nacionales,Donaciones Recibidas-Nacionales
account_group_template_621_621,621,Donaciones Recibidas-Exterior,Donaciones Recibidas-Exterior
account_group_template_626_626,626,Donaciones Entregadas-Nacionales,Donaciones Entregadas-Nacionales
account_group_template_627_627,627,Donaciones Entregadas-Exterior,Donaciones Entregadas-Exterior
account_group_template_630_634,630,Utilidades Retenidas,Utilidades Retenidas
account_group_template_635_639,635,Subvención por Pérdida,Subvención por Pérdida
account_group_template_640_644,640,Pérdida,Pérdida
account_group_template_645_645,645,Reservas para Contingencias,Reservas para Contingencias
account_group_template_646_654,646,Otras Reservas Patrimoniales,Otras Reservas Patrimoniales
account_group_template_688_688,688,Fondo de Contravalor para Proyectos de Inversión,Fondo de Contravalor para Proyectos de Inversión
account_group_template_690_690,690,Pago a Cuenta de las Utilidades,Pago a Cuenta de las Utilidades
account_group_template_691_691,691,Pago a Cuenta de los Dividendos,Pago a Cuenta de los Dividendos
account_group_template_696_696,696,Operaciones entre Dependencias,Operaciones entre Dependencias
account_group_template_697_697,697,Revaluación de Inventarios,Revaluación de Inventarios
account_group_template_698_698,698,Ganancia o Pérdida no Realizada,Ganancia o Pérdida no Realizada
account_group_template_699_699,699,Transitoria del Sistema Automatizado,Transitoria del Sistema Automatizado
account_group_template_gastos_produccion,70,GASTOS DE PRODUCCIÓN,GASTOS DE PRODUCCIÓN
account_group_template_700_724,700,Producción en Proceso,Producción en Proceso
account_group_template_725_725,725,Producción Propia para Insumos,Producción Propia para Insumos
account_group_template_726_726,726,Reparaciones Capitales con Medios Propios,Reparaciones Capitales con Medios Propios
account_group_template_727_727,727,Inversiones con Medios Propios Activos Fijos Intangibles,Inversiones con Medios Propios Activos Fijos Intangibles
account_group_template_728_728,728,Inversiones con Medios Propios,Inversiones con Medios Propios
account_group_template_731_739,731,Gastos Asociados a la Producción,Gastos Asociados a la Producción
account_group_template_cuentas_nominales,8,CUENTAS NOMINALES,CUENTAS NOMINALES
account_group_template_nominales_deudoras_excepto_seguros,80,CUENTAS NOMINALES DEUDORAS (Excepto Empresas de Seguro),CUENTAS NOMINALES DEUDORAS (Excepto Empresas de Seguro)
account_group_template_800_804,800,Devoluciones y Rebajas en Ventas,Devoluciones y Rebajas en Ventas
account_group_template_805_809,805,Impuesto por las Ventas,Impuesto por las Ventas
account_group_template_810_813,810,Costo de Ventas de la Producción,Costo de Ventas de la Producción
account_group_template_814_817,814,Costo de Ventas de Mercancías,Costo de Ventas de Mercancías
account_group_template_818_818,818,Costo por Exportación de Servicios,Costo por Exportación de Servicios
account_group_template_819_821,819,Gastos de Distribución y Ventas,Gastos de Distribución y Ventas
account_group_template_822_824,822,Gastos Generales y de Administración,Gastos Generales y de Administración
account_group_template_825_825,825,Gastos de Proyectos,Gastos de Proyectos
account_group_template_826_833,826,Gastos de Operación,Gastos de Operación
